Channel Name,Lead Speaker,YouTube Handle,Location,Primary Orientation
Life.Church,Craig Groeschel,@life.church,"Edmond, OK",Modern Evangelical
Church of the Highlands,Chris Hodges,@churchofthehighlandsAL,"Birmingham, AL",Modern Evangelical
CCV (Christ's Church),Ashley Wooldridge,@ccvonline,"Peoria, AZ",Modern Evangelical
Lakewood Church,Joel Osteen,@joelosteen,"Houston, TX",Modern Evangelical
North Point Ministries,Andy Stanley,@NorthPointAtlanta,"Alpharetta, GA",Modern Evangelical
Crossroads Church,Brian Tome,@crsrdschurch,"Cincinnati, OH",Modern Evangelical
Christ Fellowship,Todd Mullins,@christfellowship,"Palm Beach Gardens, FL",Modern Evangelical
Saddleback Church,Andy Wood,@saddlebackchurch,"Lake Forest, CA",Modern Evangelical
Southeast Christian,Kyle Idleman,@SoutheastChristianChurch,"Louisville, KY",Modern Evangelical
Eagle Brook Church,Jason Strand,@eaglebrookchurch,"Centerville, MN",Modern Evangelical
Fellowship Church,Ed Young,@EdYoung,"Grapevine, TX",Modern Evangelical
LCBC Church,Jason Mitchell,@LCBCChurch,"Manheim, PA",Modern Evangelical
Dream City Church,Luke Barnett,@DreamCity-Church,"Phoenix, AZ",Modern Evangelical
The Church of Eleven22,Joby Martin,@TheChurchofEleven22,"Jacksonville, FL",Modern Evangelical
Lakepointe Church,Josh Howerton,@LakepointeChurch,"Rockwall, TX",Modern Evangelical
Central Church,Jud Wilhite,@central.church,"Henderson, NV",Modern Evangelical
Mariners Church,Eric Geiger,@marinerschurch,"Irvine, CA",Modern Evangelical
Community Bible Church,Ed Newton,@cbcsocial,"San Antonio, TX",Modern Evangelical
Bayside Church,Ray Johnston,@BaysideChurch,"Roseville, CA",Modern Evangelical
Elevation Church,Steven Furtick,@elevationchurch,"Matthews, NC",Charismatic / Revivalist
The Potter's House,T.D. Jakes,@TDJakesOfficial,"Dallas, TX",Charismatic / Revivalist
Transformation Church,Michael Todd,@wearetransformation,"Tulsa, OK",Charismatic / Revivalist
Fresh Life Church,Levi Lusko,@freshlifechurch,"Kalispell, MT",Modern Evangelical
Calvary Tucson,Robert Furrow,@CalvaryTucson,"Tucson, AZ",Calvary Chapel
Calvary Chapel Chino,Jack Hibbs,@RealLifeJackHibbs,"Chino Hills, CA",Calvary Chapel
Harvest Christian,Greg Laurie,@harvestchurchyt,"Riverside, CA",Calvary Chapel
Gateway Church,Robert Morris,@gatewaychurchtv,"Southlake, TX",Charismatic / Revivalist
Calvary Albuquerque,Skip Heitzig,@CalvaryABQ,"Albuquerque, NM",Calvary Chapel
Mount Zion Baptist,Joseph W. Walker III,@mtzionnashville,"Nashville, TN",Historic African American
The Rock Church,Miles McPherson,@therocksandiego,"San Diego, CA",Modern Evangelical
12Stone Church,Jason Berry,@12stonechurch,"Lawrenceville, GA",Modern Evangelical
Christ the King,Grant Fishbook,@CTKBellingham,"Bellingham, WA",Modern Evangelical
King Jesus Int.,Guillermo Maldonado,@apostlegm,"Miami, FL",Charismatic / Revivalist
World Changers,Creflo Dollar,@CrefloDollar1,"College Park, GA",Charismatic / Revivalist
World Outreach,Allen Jackson,@worldoutreachchurch,"Murfreesboro, TN",Modern Evangelical
World Overcomers,Andy Thompson,@worldovercomers,"Durham, NC",Modern Evangelical
Triumph Church,Solomon Kinloch,@TriumphDetroit,"Detroit, MI",Historic African American
Family Christian Center,Steve Munsey,@fcc4me,"Munster, IN",Charismatic / Revivalist
Free Chapel,Jentezen Franklin,@freechapel,"Gainesville, GA",Charismatic / Revivalist
Christian Cultural,A.R. Bernard,@cccinfo,"Brooklyn, NY",Modern Evangelical
West Angeles COGIC,Charles Blake,@westangelescogic,"Los Angeles, CA",Pentecostal
Southland Christian,Jon Weece,@southland.church,"Nicholasville, KY",Modern Evangelical
Abundant Church,Charles Nieman,@abundantchurchep,"El Paso, TX",Charismatic / Revivalist
Legacy Church,Steve Smothermon,@LegacyChurchNM,"Albuquerque, NM",Modern Evangelical
Calvary Golden Springs,Raul Ries,@raulries,"Diamond Bar, CA",Calvary Chapel
Calvary Philadelphia,Joe Focht,@ccphilly,"Philadelphia, PA",Calvary Chapel
First Baptist Glenarden,John K. Jenkins Sr.,@Inside_FBCG,"Landover, MD",Historic African American
New Life Church,Brady Boyd,@newlifechurch,"Colorado Springs, CO",Modern Evangelical
Potential Church,Troy Gramling,@PotentialChurch,"Cooper City, FL",Modern Evangelical
Flatirons Community,Jim Burgen,@flatirons,"Lafayette, CO",Modern Evangelical
First Baptist Orlando,David Uth,@fborlando,"Orlando, FL",Southern Baptist
First Baptist Hammond,John Wilkerson,@fbchammond,"Hammond, IN",Independent Baptist
Cross Church,Nick Floyd,@CrossChurch,"Springdale, AR",Southern Baptist
Crossings Community,Marty Grubbs,@mycrossings,"Oklahoma City, OK",Modern Evangelical
Celebration Church,Tim Timberlake,@celebrationjax,"Jacksonville, FL",Charismatic / Revivalist
Calvary Community,J. Mark Martin,@calvaryphx,"Phoenix, AZ",Modern Evangelical
Calvary Chapel Melb.,Dave Folkerts,@calvarymelbourne,"Melbourne, FL",Calvary Chapel
Bayside Community,Randy Bezet,@baysidecommunity,"Bradenton, FL",Modern Evangelical
Ada Bible Church,Aaron Buer,@adabible,"Ada, MI",Modern Evangelical
Athey Creek Church,Brett Meador,@atheycreek,"West Linn, OR",Calvary Chapel
Church on the Move,Whit George,@churchonthemove,"Tulsa, OK",Modern Evangelical
Church Unlimited,Bil Cornelius,@churchunlimited,"Corpus Christi, TX",Modern Evangelical
City of Refuge,Noel Jones,@cityofrefuge,"Gardena, CA",Pentecostal
