channel_name,channel_url,channel_id
John MacArthur - Grace to You,https://www.youtube.com/@gracetoyou,
Steven Furtick - Elevation Church,https://www.youtube.com/@elevationchurch,
TD Jakes - The Potter's House,https://www.youtube.com/@TDJakesOfficial,
Andy Stanley - North Point,https://www.youtube.com/@AndyStanley,
Matt Chandler - Village Church,https://www.youtube.com/@TheVillageChurch,
Tim Keller - Gospel in Life,https://www.youtube.com/@gospelinlife,
Robert Morris - Gateway Church,https://www.youtube.com/@gaboratv,
Craig Groeschel - Life.Church,https://www.youtube.com/@LifeChurch,
Voddie Baucham,https://www.youtube.com/@VoddieBauchamMinistries,
Tony Evans,https://www.youtube.com/@TonyEvansOfficial,
