channel_id,channel_name,resolved_via,source_url,video_count,transcript_count,total_words
932c2ca1f777246f,"Elevation with Steven Furtick",apple_podcast,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/cbb40a38-726f-4243-a86e-b0ed01477640/ff9164b2-aa64-410d-9ee1-b0ed0147765c/podcast.rss,5,5,40158
3d1f84ec2c2179b2,"Life Church Assembly of God - Sunday Messages",apple_podcast,https://podcasts.subsplash.com/yfdp58n/podcast.rss,5,5,32683
c85dc386e7bdac58,"Life.Church with Craig Groeschel",apple_podcast,https://feeds.simplecast.com/mnjhoO1E,5,5,29153
2b8c4e92db9ab640,"New Beginnings Assembly of God - St. Louis",apple_podcast,https://anchor.fm/s/efdfe518/podcast/rss,5,5,25518
73f13953933216fa,"North Point Community Church",apple_podcast,https://api.sardius.media/feeds/8d5F99Ed22aB004/1968826fF8/rss,5,5,33753
dbb224c9364fc69b,"The Potter's House Podcast",apple_podcast,https://feeds.acast.com/public/shows/6845b19da13d3373731451b5,5,0,0
fa68ab7e462fd9db,"The Village Church - Sermons",apple_podcast,http://feeds.thevillagechurch.net/sermons,5,5,42854
j766vqw,"Agape Baptist Church",rss_feed,https://podcasts.subsplash.com/j766vqw/podcast.rss,5,5,32788
z73b3th,"Becoming Something with Jonathan Pokluda",rss_feed,https://podcasts.subsplash.com/z73b3th/podcast.rss,5,5,36799
7p4dfwd,"CU Church Sermon Podcast",rss_feed,https://podcasts.subsplash.com/7p4dfwd/podcast.rss,5,5,30847
3ce920f,"Calvary Chapel Chattanooga",rss_feed,https://podcasts.subsplash.com/3ce920f/podcast.rss,5,5,47107
5760c6e,"Calvary Chapel Chester Springs - Sunday",rss_feed,https://podcasts.subsplash.com/5760c6e/podcast.rss,5,5,30359
j3t57y7,"Calvary Chapel Fort Lauderdale",rss_feed,https://podcasts.subsplash.com/j3t57y7/podcast.rss,5,5,47256
23n7qsd,"Calvary Chapel Old Bridge",rss_feed,https://podcasts.subsplash.com/23n7qsd/podcast.rss,5,5,44875
a0a341d,"Calvary Chapel Oxnard",rss_feed,https://podcasts.subsplash.com/a0a341d/podcast.rss,5,5,34090
5y3cjnv,"Calvary Chapel Signal Hill",rss_feed,https://podcasts.subsplash.com/5y3cjnv/podcast.rss,5,5,34014
5kg4xvb,"Calvary Chapel of San Antonio",rss_feed,https://podcasts.subsplash.com/5kg4xvb/podcast.rss,5,5,30196
sdvrsgc,"Christ Church (Moscow, ID)",rss_feed,https://podcasts.subsplash.com/sdvrsgc/podcast.rss,5,5,31061
339gh4r,"Connect with Skip Heitzig Podcast",rss_feed,https://podcasts.subsplash.com/339gh4r/podcast.rss,5,5,17931
dmpbhqc,"Cottonwood Church",rss_feed,https://podcasts.subsplash.com/dmpbhqc/podcast.rss,5,5,34873
ykw82ct,"Emmanuel Church",rss_feed,https://podcasts.subsplash.com/ykw82ct/podcast.rss,5,5,40023
f67c286,"Fairview Fellowship Church",rss_feed,https://podcasts.subsplash.com/f67c286/podcast.rss,5,5,29375
8ab0cb3,"First Baptist Church Indian Trail",rss_feed,https://podcasts.subsplash.com/8ab0cb3/podcast.rss,5,5,30035
gc7229p,"First Free Methodist - FFMC",rss_feed,https://podcasts.subsplash.com/gc7229p/podcast.rss,5,5,21622
2855ywq,"Her Solid Ground",rss_feed,https://podcasts.subsplash.com/2855ywq/podcast.rss,5,5,31192
ckyjt2g,"Independent Bible Church WV",rss_feed,https://podcasts.subsplash.com/ckyjt2g/podcast.rss,5,5,30191
63c1b64,"LIFEGATE DENVER SERMONS",rss_feed,https://podcasts.subsplash.com/63c1b64/podcast.rss,5,5,26703
p8rfd4p,"Liberty Church | Cleveland, Texas",rss_feed,https://podcasts.subsplash.com/p8rfd4p/podcast.rss,5,5,22127
ddf7ea9,"Lifepoint Church Podcast | Pastor Jeff Kapusta",rss_feed,https://podcasts.subsplash.com/ddf7ea9/podcast.rss,5,5,35927
wkxjq28,"Living Faith Christian Church Sermons",rss_feed,https://podcasts.subsplash.com/wkxjq28/podcast.rss,5,5,33568
y7nqvh3,"Marked by Grace",rss_feed,https://podcasts.subsplash.com/y7nqvh3/podcast.rss,5,5,7039
