channel_name,channel_url,channel_id
Alistair Begg - Parkside Church,https://www.youtube.com/@ParksideChurch,
Andy Stanley - North Point Ministries,https://www.youtube.com/@NorthPointAtlanta,
Bill Johnson - Bethel Redding,https://www.youtube.com/@Bethel_Online,
Creflo Dollar - World Changers,https://www.youtube.com/@CrefloDollar1,
Doug Wilson - Canon Press,https://www.youtube.com/@CanonPress,
Greg Laurie - Harvest Christian,https://www.youtube.com/@harvestchurchyt,
Greg Locke - Global Vision Bible,https://www.youtube.com/@lockemediaPH,
Guillermo Maldonado - King Jesus Int.,https://www.youtube.com/@apostlegm,
Joe Focht - Calvary Philadelphia,https://www.youtube.com/@ccphilly,
Louie Giglio - Passion City Church,https://www.youtube.com/@PassionCityChurch,
Matt Chandler - The Village Church,https://www.youtube.com/@thevillagechurch,
Mike Winger - Mike Winger,https://www.youtube.com/@MikeWinger,
Ray Comfort - Living Waters,https://www.youtube.com/@LivingWaters,
Steven Furtick - Elevation Church,https://www.youtube.com/@elevationchurch,
TD Jakes - The Potter's House,https://www.youtube.com/@TDJakesOfficial,
